row_count,gb_char,utf_bytes,unicode_id,unknown
1764,编,B1E0,7F16,E7BC96
1765,贬,B1E1,8D2C,E8B4AC
1766,扁,B1E2,6241,E68981
1767,便,B1E3,4FBF,E4BEBF
1768,变,B1E4,53D8,E58F98
1769,卞,B1E5,535E,E58D9E
1770,辨,B1E6,8FA8,E8BEA8
1771,辩,B1E7,8FA9,E8BEA9
1772,辫,B1E8,8FAB,E8BEAB
1773,遍,B1E9,904D,E9818D
1774,标,B1EA,6807,E6A087
1775,彪,B1EB,5F6A,E5BDAA
1776,膘,B1EC,8198,E88698
1777,表,B1ED,8868,E8A1A8
1778,鳖,B1EE,9CD6,E9B396
1779,憋,B1EF,618B,E6868B
1780,别,B1F0,522B,E588AB
1781,瘪,B1F1,762A,E798AA
1782,彬,B1F2,5F6C,E5BDAC
1783,斌,B1F3,658C,E6968C
1784,濒,B1F4,6FD2,E6BF92
1785,滨,B1F5,6EE8,E6BBA8
1786,宾,B1F6,5BBE,E5AEBE
1787,摈,B1F7,6448,E69188
1788,兵,B1F8,5175,E585B5
1789,冰,B1F9,51B0,E586B0
1790,柄,B1FA,67C4,E69F84
1791,丙,B1FB,4E19,E4B899
1792,秉,B1FC,79C9,E7A789
1793,饼,B1FD,997C,E9A5BC
1794,炳,B1FE,70B3,E782B3
1801,病,B2A1,75C5,E79785
1802,并,B2A2,5E76,E5B9B6
1803,玻,B2A3,73BB,E78EBB
1804,菠,B2A4,83E0,E88FA0
1805,播,B2A5,64AD,E692AD
1806,拨,B2A6,62E8,E68BA8
1807,钵,B2A7,94B5,E992B5
1808,波,B2A8,6CE2,E6B3A2
1809,博,B2A9,535A,E58D9A
1810,勃,B2AA,52C3,E58B83
1811,搏,B2AB,640F,E6908F
1812,铂,B2AC,94C2,E99382
1813,箔,B2AD,7B94,E7AE94
1814,伯,B2AE,4F2F,E4BCAF
1815,帛,B2AF,5E1B,E5B89B
1816,舶,B2B0,8236,E888B6
1817,脖,B2B1,8116,E88496
1818,膊,B2B2,818A,E8868A
1819,渤,B2B3,6E24,E6B8A4
1820,泊,B2B4,6CCA,E6B38A
1821,驳,B2B5,9A73,E9A9B3
1822,捕,B2B6,6355,E68D95
1823,卜,B2B7,535C,E58D9C
1824,哺,B2B8,54FA,E593BA
1825,补,B2B9,8865,E8A1A5
1826,埠,B2BA,57E0,E59FA0
1827,不,B2BB,4E0D,E4B88D
1828,布,B2BC,5E03,E5B883
1829,步,B2BD,6B65,E6ADA5
1830,簿,B2BE,7C3F,E7B0BF
1831,部,B2BF,90E8,E983A8
1832,怖,B2C0,6016,E68096
1833,擦,B2C1,64E6,E693A6
1834,猜,B2C2,731C,E78C9C
1835,裁,B2C3,88C1,E8A381
1836,材,B2C4,6750,E69D90
1837,才,B2C5,624D,E6898D
1838,财,B2C6,8D22,E8B4A2
1839,睬,B2C7,776C,E79DAC
1840,踩,B2C8,8E29,E8B8A9
1841,采,B2C9,91C7,E98787
1842,彩,B2CA,5F69,E5BDA9
1843,菜,B2CB,83DC,E88F9C
1844,蔡,B2CC,8521,E894A1
1845,餐,B2CD,9910,E9A490
1846,参,B2CE,53C2,E58F82
1847,蚕,B2CF,8695,E89A95
1848,残,B2D0,6B8B,E6AE8B
1849,惭,B2D1,60ED,E683AD
1850,惨,B2D2,60E8,E683A8
1851,灿,B2D3,707F,E781BF
1852,苍,B2D4,82CD,E88B8D
1853,舱,B2D5,8231,E888B1
1854,仓,B2D6,4ED3,E4BB93
1855,沧,B2D7,6CA7,E6B2A7
1856,藏,B2D8,85CF,E8978F
1857,操,B2D9,64CD,E6938D
1858,糙,B2DA,7CD9,E7B399
1859,槽,B2DB,69FD,E6A7BD
1860,曹,B2DC,66F9,E69BB9
